city,year,avg_temperature,avg_max_temperature,avg_min_temperature,total_rainfall,rainy_days,avg_wind_speed
Kolkata,2017,26.599589041095893,30.630958904109587,22.56821917808219,2237.1,213,15.126027397260273
Kolkata,2018,26.14205479452055,30.406575342465754,21.877534246575344,1786.9,199,14.44986301369863
Kolkata,2019,26.36013698630137,30.532602739726027,22.187671232876713,1666.5,202,14.833424657534247
Kolkata,2020,26.223497267759562,30.40245901639344,22.044535519125684,1892.7,214,14.547814207650273
Kolkata,2021,26.592876712328767,30.856438356164386,22.329315068493152,2168.2,201,13.972876712328768
Kolkata,2022,26.429041095890412,30.825753424657535,22.03232876712329,1651.6,194,15.660821917808219
Kolkata,2023,26.975068493150683,31.610410958904108,22.339726027397262,1882.3,197,14.695616438356163
Kolkata,2024,26.69535519125683,30.91256830601093,22.47814207650273,2083.4,203,14.28879781420765
Lucknow,2000,24.909289617486337,30.44672131147541,19.37185792349727,787.0,134,14.32431693989071
Lucknow,2001,24.884931506849316,30.38712328767123,19.382739726027395,1081.4,147,13.590136986301369
Lucknow,2002,25.508219178082193,31.066301369863016,19.95013698630137,730.7,132,14.820273972602738
Lucknow,2003,24.775890410958905,30.188767123287672,19.363013698630137,1425.6,143,13.915890410958905
Lucknow,2004,25.10915300546448,30.476502732240437,19.741803278688526,851.9,124,14.569672131147541
Lucknow,2005,25.42219178082192,30.913972602739726,19.930410958904112,823.4,129,14.496712328767124
Lucknow,2006,26.043698630136987,31.583287671232874,20.504109589041096,676.8,116,14.446027397260275
Lucknow,2007,25.510136986301372,30.848219178082193,20.172054794520548,973.3,142,14.46109589041096
Lucknow,2008,25.21243169398907,30.562841530054644,19.862021857923498,1443.9,144,13.775136612021857
Lucknow,2009,26.023287671232875,31.650410958904107,20.396164383561644,789.3,119,15.487945205479454
Lucknow,2010,26.302739726027397,31.75068493150685,20.854794520547944,1027.3,130,14.424109589041096
Lucknow,2011,25.175068493150683,30.576986301369864,19.773150684931505,1040.5,129,13.997534246575343
Lucknow,2012,25.280054644808743,30.868852459016395,19.691256830601095,936.1,107,14.669398907103826
Lucknow,2013,24.71164383561644,29.807945205479452,19.615342465753425,1160.1,149,14.189041095890412
Lucknow,2014,25.011917808219177,30.326575342465755,19.697260273972603,728.9,132,14.535616438356165
Lucknow,2015,25.556712328767127,30.81150684931507,20.301917808219176,828.5,131,13.806027397260273
Lucknow,2016,25.873224043715847,31.119125683060112,20.627322404371586,1022.3,146,13.976775956284152
Lucknow,2017,25.654657534246578,31.013150684931507,20.296164383561646,936.0,144,15.407945205479452
Lucknow,2018,25.506849315068493,31.167397260273972,19.846301369863014,1228.3,140,15.515342465753426
Lucknow,2019,25.27150684931507,30.463287671232877,20.07972602739726,1284.7,139,15.68958904109589
Lucknow,2020,24.590710382513663,29.76530054644809,19.416120218579234,1296.1,161,14.265300546448088
Lucknow,2021,25.084246575342465,30.291506849315066,19.876986301369865,994.9,146,14.74054794520548
Lucknow,2022,25.59232876712329,31.178356164383562,20.006301369863014,1125.0,135,15.792328767123287
Lucknow,2023,25.39506849315069,30.914794520547943,19.875342465753423,1007.5,129,15.324931506849316
Lucknow,2024,25.66898907103825,31.04289617486339,20.295081967213115,1139.0,133,14.515027322404372
Mumbai,2000,26.62090163934426,30.12459016393443,23.117213114754097,1836.5,156,16.634426229508197
Mumbai,2001,26.630684931506853,30.041095890410958,23.22027397260274,1655.8,152,17.375890410958903
Mumbai,2002,27.186575342465755,30.68931506849315,23.68383561643836,1530.1,148,17.62986301369863
Mumbai,2003,27.101506849315065,30.596438356164384,23.606575342465753,1780.5,129,17.04904109589041
Mumbai,2004,27.05218579234973,30.558469945355192,23.54590163934426,2031.1,146,17.335792349726773
Mumbai,2005,26.755068493150684,30.389041095890413,23.12109589041096,2383.7,126,17.567945205479454
Mumbai,2006,27.224109589041095,30.664109589041097,23.784109589041098,2472.9,152,17.942739726027398
Mumbai,2007,27.3427397260274,30.72,23.965479452054794,2288.9,141,17.861095890410958
Mumbai,2008,26.9172131147541,30.431420765027323,23.403005464480874,1868.4,134,17.718852459016393
Mumbai,2009,27.390958904109592,30.89205479452055,23.88986301369863,1625.1,134,17.26931506849315
Mumbai,2010,27.270958904109587,30.413972602739726,24.127945205479453,2261.7,163,16.593424657534246
Mumbai,2011,26.9986301369863,30.53205479452055,23.465205479452052,2143.5,141,17.345479452054796
Mumbai,2012,26.608196721311476,30.125956284153006,23.090437158469946,1454.9,129,17.639344262295083
Mumbai,2013,26.64438356164384,30.003561643835614,23.285205479452056,2161.8,151,17.686575342465755
Mumbai,2014,27.2572602739726,30.67178082191781,23.8427397260274,1845.4,131,17.735068493150685
